text_orig,text_strp_unicode,text_strp_punct
",",",",
there,there,there
were,were,were
two,two,two
kingdom,kingdom,kingdom
that,that,that
have,have,have
existed,existed,existed
in,in,in
this,this,this
region,region,region
and,and,and
both,both,both
are,are,are
called,called,called
mataram,mataram,mataram
.,.,
the,the,the
later,later,later
kingdom,kingdom,kingdom
",",",",
however,however,however
",",",",
is,is,is
often,often,often
called,called,called
mataram,mataram,mataram
islam,islam,islam
or,or,or
``,``,
mataram,mataram,mataram
sultanate,sultanate,sultanate
'','',
to,to,to
distinguish,distinguish,distinguish
it,it,it
from,from,from
the,the,the
hindu-buddhist,hindu-buddhist,hindubuddhist
<<number>>-century,<<number>>-century,<<number>>-century
kingdom,kingdom,kingdom
of,of,of
mataram,mataram,mataram
.,.,
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
historiography,historiography,historiography
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
the,the,the
key,key,key
source,source,source
to,to,to
uncover,uncover,uncover
the,the,the
history,history,history
of,of,of
mataram,mataram,mataram
sultanate,sultanate,sultanate
are,are,are
local,local,local
javanese,javanese,javanese
historical,historical,historical
account,account,account
called,called,called
babad,babad,babad
",",",",
and,and,and
dutch,dutch,dutch
account,account,account
by,by,by
the,the,the
dutch,dutch,dutch
east,east,east
india,india,india
company,company,company
(,(,
voc,voc,voc
),),
.,.,
the,the,the
problem,problem,problem
with,with,with
traditional,traditional,traditional
javanese,javanese,javanese
babad,babad,babad
",",",",
are,are,are
that,that,that
they,they,they
are,are,are
often,often,often
undated,undated,undated
",",",",
obscure,obscure,obscure
and,and,and
incorporate,incorporate,incorporate
non-historic,non-historic,nonhistoric
",",",",
mythological,mythological,mythological
and,and,and
fantastic,fantastic,fantastic
element,element,element
because,because,because
these,these,these
javanese,javanese,javanese
historical,historical,historical
account,account,account
were,were,were
used,used,used
a,a,a
a,a,a
tool,tool,tool
to,to,to
legitimize,legitimize,legitimize
the,the,the
authority,authority,authority
of,of,of
the,the,the
ruler,ruler,ruler
.,.,
an,an,an
example,example,example
of,of,of
a,a,a
mythical,mythical,mythical
element,element,element
is,is,is
the,the,the
sacred,sacred,sacred
bond,bond,bond
between,between,between
sutawijaya,sutawijaya,sutawijaya
with,with,with
mythical,mythical,mythical
ratu,ratu,ratu
kidul,kidul,kidul
",",",",
the,the,the
ruler,ruler,ruler
of,of,of
java,java,java
's,'s,s
indian,indian,indian
ocean,ocean,ocean
a,a,a
his,his,his
spiritual,spiritual,spiritual
consort,consort,consort
",",",",
a,a,a
claimed,claimed,claimed
in,in,in
the,the,the
babad,babad,babad
tanah,tanah,tanah
jawi,jawi,jawi
.,.,
the,the,the
date,date,date
for,for,for
event,event,event
before,before,before
the,the,the
siege,siege,siege
of,of,of
batavia,batavia,batavia
during,during,during
the,the,the
reign,reign,reign
of,of,of
sultan,sultan,sultan
agung,agung,agung
",",",",
the,the,the
third,third,third
king,king,king
of,of,of
mataram,mataram,mataram
",",",",
are,are,are
difficult,difficult,difficult
to,to,to
determine,determine,determine
.,.,
there,there,there
are,are,are
several,several,several
annals,annals,annals
used,used,used
by,by,by
h.j,h.j,hj
.,.,
de,de,de
graaf,graaf,graaf
in,in,in
his,his,his
history,history,history
such,such,such
a,a,a
babad,babad,babad
sangkala,sangkala,sangkala
and,and,and
babad,babad,babad
momana,momana,momana
which,which,which
contain,contain,contain
list,list,list
of,of,of
event,event,event
and,and,and
date,date,date
from,from,from
the,the,the
javanese,javanese,javanese
calendar,calendar,calendar
(,(,
a.j.,a.j.,aj
",",",",
anno,anno,anno
javanicus,javanicus,javanicus
),),
",",",",
but,but,but
besides,besides,besides
de,de,de
graaf,graaf,graaf
's,'s,s
questionable,questionable,questionable
practice,practice,practice
of,of,of
simply,simply,simply
adding,adding,adding
<<number>>,<<number>>,<<number>>
to,to,to
javanese,javanese,javanese
year,year,year
to,to,to
obtain,obtain,obtain
corresponding,corresponding,corresponding
christian,christian,christian
year,year,year
",",",",
the,the,the
agreement,agreement,agreement
between,between,between
javanese,javanese,javanese
source,source,source
themselves,themselves,themselves
is,is,is
also,also,also
le,le,le
than,than,than
perfect,perfect,perfect
.,.,
the,the,the
javanese,javanese,javanese
source,source,source
are,are,are
very,very,very
selective,selective,selective
in,in,in
putting,putting,putting
date,date,date
to,to,to
event,event,event
.,.,
event,event,event
such,such,such
a,a,a
the,the,the
rise,rise,rise
and,and,and
fall,fall,fall
of,of,of
kratons,kratons,kratons
(,(,
palace,palace,palace
),),
",",",",
the,the,the
death,death,death
of,of,of
important,important,important
prince,prince,prince
",",",",
great,great,great
war,war,war
",",",",
etc,etc,etc
.,.,
are,are,are
the,the,the
only,only,only
kind,kind,kind
of,of,of
event,event,event
deemed,deemed,deemed
important,important,important
enough,enough,enough
to,to,to
be,be,be
dated,dated,dated
",",",",
by,by,by
using,using,using
a,a,a
poetic,poetic,poetic
formula,formula,formula
chronogram,chronogram,chronogram
called,called,called
candrasengkala,candrasengkala,candrasengkala
",",",",
which,which,which
can,can,can
be,be,be
expressed,expressed,expressed
verbally,verbally,verbally
and,and,and
pictorially,pictorially,pictorially
",",",",
the,the,the
rest,rest,rest
being,being,being
simply,simply,simply
described,described,described
in,in,in
narrative,narrative,narrative
succession,succession,succession
without,without,without
date,date,date
.,.,
again,again,again
these,these,these
candrasengkalas,candrasengkalas,candrasengkalas
do,do,do
not,not,not
always,always,always
match,match,match
the,the,the
annals,annals,annals
.,.,
therefore,therefore,therefore
",",",",
the,the,the
following,following,following
rule,rule,rule
of,of,of
thumb,thumb,thumb
is,is,is
suggested,suggested,suggested
:,:,
the,the,the
date,date,date
from,from,from
de,de,de
graaf,graaf,graaf
and,and,and
ricklefs,ricklefs,ricklefs
for,for,for
the,the,the
period,period,period
before,before,before
the,the,the
siege,siege,siege
of,of,of
batavia,batavia,batavia
can,can,can
be,be,be
accepted,accepted,accepted
a,a,a
best-guesses,best-guesses,bestguesses
.,.,
for,for,for
the,the,the
period,period,period
after,after,after
the,the,the
siege,siege,siege
of,of,of
batavia,batavia,batavia
(,(,
<<year>>–29,<<year>>29,<<year>>29
),),
until,until,until
the,the,the
first,first,first
war,war,war
of,of,of
succession,succession,succession
(,(,
<<year>>,<<year>>,<<year>>
),),
",",",",
the,the,the
year,year,year
of,of,of
event,event,event
in,in,in
which,which,which
foreigner,foreigner,foreigner
participated,participated,participated
can,can,can
be,be,be
accepted,accepted,accepted
a,a,a
certain,certain,certain
",",",",
but,but,but
-,-,
again,again,again
-,-,
are,are,are
not,not,not
always,always,always
consistent,consistent,consistent
with,with,with
javanese,javanese,javanese
version,version,version
of,of,of
the,the,the
story,story,story
.,.,
the,the,the
event,event,event
in,in,in
the,the,the
period,period,period
<<year>>–1755,<<year>>1755,<<year>>1755
can,can,can
be,be,be
dated,dated,dated
with,with,with
greater,greater,greater
certainty,certainty,certainty
since,since,since
",",",",
in,in,in
this,this,this
period,period,period
",",",",
the,the,the
dutch,dutch,dutch
interfered,interfered,interfered
deeply,deeply,deeply
in,in,in
mataram,mataram,mataram
affair,affair,affair
but,but,but
event,event,event
behind,behind,behind
kraton,kraton,kraton
wall,wall,wall
are,are,are
",",",",
in,in,in
general,general,general
",",",",
difficult,difficult,difficult
to,to,to
date,date,date
precisely,precisely,precisely
.,.,
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
history,history,history
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
formation,formation,formation
and,and,and
growth,growth,growth
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
establishment,establishment,establishment
of,of,of
the,the,the
kingdom,kingdom,kingdom
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
detail,detail,detail
in,in,in
javanese,javanese,javanese
source,source,source
about,about,about
the,the,the
early,early,early
year,year,year
of,of,of
the,the,the
kingdom,kingdom,kingdom
are,are,are
limited,limited,limited
",",",",
and,and,and
the,the,the
line,line,line
is,is,is
unclear,unclear,unclear
between,between,between
the,the,the
historical,historical,historical
record,record,record
and,and,and
myth,myth,myth
since,since,since
there,there,there
are,are,are
indication,indication,indication
of,of,of
the,the,the
effort,effort,effort
by,by,by
later,later,later
ruler,ruler,ruler
",",",",
especially,especially,especially
agung,agung,agung
",",",",
to,to,to
establish,establish,establish
a,a,a
long,long,long
line,line,line
of,of,of
legitimate,legitimate,legitimate
descent,descent,descent
by,by,by
inventing,inventing,inventing
predecessor,predecessor,predecessor
.,.,
however,however,however
",",",",
by,by,by
the,the,the
time,time,time
more,more,more
reliable,reliable,reliable
record,record,record
begin,begin,begin
in,in,in
the,the,the
mid-17th,mid-17th,mid17th
century,century,century
the,the,the
kingdom,kingdom,kingdom
wa,wa,wa
so,so,so
large,large,large
and,and,and
powerful,powerful,powerful
that,that,that
most,most,most
historian,historian,historian
concur,concur,concur
it,it,it
had,had,had
already,already,already
been,been,been
established,established,established
for,for,for
several,several,several
generation,generation,generation
.,.,
according,according,according
to,to,to
javanese,javanese,javanese
record,record,record
",",",",
the,the,the
king,king,king
of,of,of
mataram,mataram,mataram
were,were,were
descended,descended,descended
from,from,from
one,one,one
ki,ki,ki
ageng,ageng,ageng
sela,sela,sela
(,(,
sela,sela,sela
is,is,is
a,a,a
village,village,village
near,near,near
the,the,the
present-day,present-day,presentday
demak,demak,demak
",",",",
indonesia,indonesia,indonesia
),),
.,.,
in,in,in
the,the,the
<<year>>,<<year>>,<<year>>
",",",",
one,one,one
of,of,of
ki,ki,ki
ageng,ageng,ageng
sela,sela,sela
's,'s,s
descendant,descendant,descendant
",",",",
kyai,kyai,kyai
gedhe,gedhe,gedhe
pamanahan,pamanahan,pamanahan
of,of,of
mataram,mataram,mataram
wa,wa,wa
awarded,awarded,awarded
rule,rule,rule
of,of,of
the,the,the
land,land,land
of,of,of
mataram,mataram,mataram
by,by,by
the,the,the
king,king,king
of,of,of
pajang,pajang,pajang
",",",",
joko,joko,joko
tingkir,tingkir,tingkir
",",",",
a,a,a
the,the,the
reward,reward,reward
for,for,for
his,his,his
service,service,service
of,of,of
defeating,defeating,defeating
arya,arya,arya
panangsang,panangsang,panangsang
",",",",
hadiwijaya,hadiwijaya,hadiwijaya
's,'s,s
enemy,enemy,enemy
.,.,
pajang,pajang,pajang
wa,wa,wa
located,located,located
near,near,near
the,the,the
current,current,current
site,site,site
of,of,of
surakarta,surakarta,surakarta
",",",",
and,and,and
mataram,mataram,mataram
wa,wa,wa
originally,originally,originally
a,a,a
vassal,vassal,vassal
of,of,of
pajang,pajang,pajang
.,.,
pamanahan,pamanahan,pamanahan
wa,wa,wa
often,often,often
referred,referred,referred
to,to,to
a,a,a
kyai,kyai,kyai
gedhe,gedhe,gedhe
mataram,mataram,mataram
.,.,
a,a,a
kyai,kyai,kyai
is,is,is
a,a,a
muslim,muslim,muslim
cleric,cleric,cleric
who,who,who
is,is,is
well,well,well
educated,educated,educated
and,and,and
tend,tend,tend
to,to,to
be,be,be
well-respected,well-respected,wellrespected
.,.,
meanwhile,meanwhile,meanwhile
",",",",
in,in,in
pajang,pajang,pajang
",",",",
there,there,there
were,were,were
major,major,major
power,power,power
struggle,struggle,struggle
that,that,that
took,took,took
place,place,place
after,after,after
the,the,the
death,death,death
of,of,of
sultan,sultan,sultan
hadiwijaya,hadiwijaya,hadiwijaya
in,in,in
<<year>>,<<year>>,<<year>>
.,.,
hadiwijaya,hadiwijaya,hadiwijaya
's,'s,s
heir,heir,heir
",",",",
pangeran,pangeran,pangeran
(,(,
prince,prince,prince
),),
benowo,benowo,benowo
",",",",
wa,wa,wa
ousted,ousted,ousted
by,by,by
arya,arya,arya
pangiri,pangiri,pangiri
of,of,of
demak,demak,demak
",",",",
and,and,and
wa,wa,wa
removed,removed,removed
to,to,to
jipang,jipang,jipang
.,.,
pamanahan,pamanahan,pamanahan
's,'s,s
son,son,son
",",",",
sutawijaya,sutawijaya,sutawijaya
or,or,or
panembahan,panembahan,panembahan
senapati,senapati,senapati
ingalaga,ingalaga,ingalaga
",",",",
replaced,replaced,replaced
his,his,his
father,father,father
around,around,around
<<year>>,<<year>>,<<year>>
",",",",
and,and,and
he,he,he
began,began,began
to,to,to
release,release,release
mataram,mataram,mataram
from,from,from
pajang,pajang,pajang
's,'s,s
control,control,control
.,.,
under,under,under
sutawijaya,sutawijaya,sutawijaya
",",",",
mataram,mataram,mataram
grew,grew,grew
substantially,substantially,substantially
through,through,through
military,military,military
campaign,campaign,campaign
against,against,against
mataram,mataram,mataram
's,'s,s
overlord,overlord,overlord
of,of,of
pajang,pajang,pajang
and,and,and
pajang,pajang,pajang
's,'s,s
former,former,former
overlord,overlord,overlord
",",",",
demak,demak,demak
.,.,
the,the,the
new,new,new
pajang,pajang,pajang
sultan,sultan,sultan
",",",",
arya,arya,arya
pangiri,pangiri,pangiri
",",",",
wa,wa,wa
an,an,an
unpopular,unpopular,unpopular
ruler,ruler,ruler
",",",",
and,and,and
benowo,benowo,benowo
quickly,quickly,quickly
rallied,rallied,rallied
support,support,support
to,to,to
regain,regain,regain
his,his,his
throne,throne,throne
and,and,and
recruited,recruited,recruited
sutawijaya,sutawijaya,sutawijaya
's,'s,s
support,support,support
against,against,against
pajang,pajang,pajang
.,.,
subsequently,subsequently,subsequently
",",",",
pajang,pajang,pajang
wa,wa,wa
attacked,attacked,attacked
from,from,from
two,two,two
direction,direction,direction
:,:,
by,by,by
prince,prince,prince
benowo,benowo,benowo
from,from,from
jipang,jipang,jipang
and,and,and
by,by,by
sutawijaya,sutawijaya,sutawijaya
from,from,from
mataram,mataram,mataram
",",",",
and,and,and
wa,wa,wa
finally,finally,finally
defeated,defeated,defeated
.,.,
after,after,after
the,the,the
defeat,defeat,defeat
of,of,of
pajang,pajang,pajang
",",",",
prince,prince,prince
benowo,benowo,benowo
did,did,did
not,not,not
dare,dare,dare
to,to,to
stand,stand,stand
against,against,against
senapati,senapati,senapati
and,and,and
agreed,agreed,agreed
to,to,to
bow,bow,bow
down,down,down
to,to,to
him,him,him
and,and,and
submit,submit,submit
pajang,pajang,pajang
to,to,to
mataram,mataram,mataram
's,'s,s
rule,rule,rule
.,.,
this,this,this
event,event,event
in,in,in
<<year>>,<<year>>,<<year>>
",",",",
marked,marked,marked
the,the,the
end,end,end
of,of,of
pajang,pajang,pajang
kingdom,kingdom,kingdom
and,and,and
the,the,the
rise,rise,rise
of,of,of
it,it,it
former,former,former
vassal,vassal,vassal
",",",",
the,the,the
mataram,mataram,mataram
sultanate,sultanate,sultanate
.,.,
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
the,the,the
rise,rise,rise
of,of,of
mataram,mataram,mataram
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
senapati,senapati,senapati
assumed,assumed,assumed
royal,royal,royal
status,status,status
by,by,by
wearing,wearing,wearing
the,the,the
title,title,title
``,``,
panembahan,panembahan,panembahan
'','',
(,(,
literally,literally,literally
``,``,
one,one,one
who,who,who
is,is,is
worshipped/sembah,worshipped/sembah,worshippedsembah
'','',
),),
.,.,
he,he,he
revealed,revealed,revealed
the,the,the
expansive,expansive,expansive
nature,nature,nature
of,of,of
his,his,his
reign,reign,reign
and,and,and
began,began,began
the,the,the
fateful,fateful,fateful
campaign,campaign,campaign
to,to,to
the,the,the
east,east,east
along,along,along
the,the,the
course,course,course
of,of,of
solo,solo,solo
river,river,river
that,that,that
would,would,would
bring,bring,bring
endless,endless,endless
conflict,conflict,conflict
.,.,
in,in,in
<<year>>,<<year>>,<<year>>
",",",",
the,the,the
wealthy,wealthy,wealthy
port,port,port
city,city,city
of,of,of
surabaya,surabaya,surabaya
rose,rose,rose
against,against,against
panembahan,panembahan,panembahan
senapati,senapati,senapati
.,.,
senapati,senapati,senapati
however,however,however
wa,wa,wa
unable,unable,unable
to,to,to
penetrate,penetrate,penetrate
surabayan,surabayan,surabayan
defence,defence,defence
.,.,
he,he,he
then,then,then
conquered,conquered,conquered
madiun,madiun,madiun
in,in,in
<<year>>,<<year>>,<<year>>
instead,instead,instead
",",",",
and,and,and
turned,turned,turned
east,east,east
from,from,from
madiun,madiun,madiun
to,to,to
conquer,conquer,conquer
kediri,kediri,kediri
in,in,in
<<year>>,<<year>>,<<year>>
and,and,and
ponorogo,ponorogo,ponorogo
.,.,
perhaps,perhaps,perhaps
during,during,during
the,the,the
same,same,same
time,time,time
he,he,he
also,also,also
conquered,conquered,conquered
jipang,jipang,jipang
(,(,
present,present,present
day,day,day
bojonegoro,bojonegoro,bojonegoro
),),
and,and,and
jagaraga,jagaraga,jagaraga
(,(,
north,north,north
of,of,of
present-day,present-day,presentday
magetan,magetan,magetan
),),
.,.,
he,he,he
reached,reached,reached
east,east,east
a,a,a
far,far,far
a,a,a
pasuruan,pasuruan,pasuruan
",",",",
who,who,who
may,may,may
have,have,have
used,used,used
his,his,his
threat,threat,threat
to,to,to
reduce,reduce,reduce
pressure,pressure,pressure
from,from,from
the,the,the
then,then,then
powerful,powerful,powerful
surabaya,surabaya,surabaya
.,.,
after,after,after
his,his,his
campaign,campaign,campaign
in,in,in
central,central,central
and,and,and
east,east,east
java,java,java
",",",",
panembahan,panembahan,panembahan
senapati,senapati,senapati
turned,turned,turned
his,his,his
attention,attention,attention
to,to,to
the,the,the
west,west,west
",",",",
a,a,a
he,he,he
forced,forced,forced
cirebon,cirebon,cirebon
sultanate,sultanate,sultanate
and,and,and
galuh,galuh,galuh
in,in,in
west,west,west
java,java,java
to,to,to
acknowledge,acknowledge,acknowledge
mataram,mataram,mataram
's,'s,s
overlordship,overlordship,overlordship
in,in,in
<<year>>,<<year>>,<<year>>
.,.,
his,his,his
effort,effort,effort
to,to,to
conquer,conquer,conquer
banten,banten,banten
sultanate,sultanate,sultanate
in,in,in
west,west,west
java,java,java
in,in,in
<<year>>,<<year>>,<<year>>
;,;,
—,,
witnessed,witnessed,witnessed
by,by,by
dutch,dutch,dutch
sailor,sailor,sailor
;,;,
—,,
failed,failed,failed
",",",",
perhaps,perhaps,perhaps
due,due,due
to,to,to
lack,lack,lack
of,of,of
water,water,water
transport,transport,transport
.,.,
later,later,later
",",",",
demak,demak,demak
and,and,and
pati,pati,pati
revolted,revolted,revolted
and,and,and
their,their,their
force,force,force
almost,almost,almost
reach,reach,reach
the,the,the
mataram,mataram,mataram
capital,capital,capital
",",",",
before,before,before
senapati,senapati,senapati
's,'s,s
cavalry,cavalry,cavalry
manage,manage,manage
to,to,to
destroy,destroy,destroy
them,them,them
.,.,
panembahan,panembahan,panembahan
senapati,senapati,senapati
died,died,died
in,in,in
<<year>>,<<year>>,<<year>>
and,and,and
entombed,entombed,entombed
in,in,in
kota,kota,kota
gede,gede,gede
",",",",
he,he,he
succeed,succeed,succeed
on,on,on
establishing,establishing,establishing
a,a,a
firm,firm,firm
foundation,foundation,foundation
of,of,of
a,a,a
new,new,new
state,state,state
.,.,
his,his,his
successor,successor,successor
",",",",
ma,ma,ma
jolang,jolang,jolang
or,or,or
later,later,later
known,known,known
a,a,a
panembahan,panembahan,panembahan
seda,seda,seda
ing,ing,ing
krapyak,krapyak,krapyak
(,(,
hanyakrawati,hanyakrawati,hanyakrawati
),),
",",",",
would,would,would
face,face,face
further,further,further
rebellion,rebellion,rebellion
.,.,
the,the,the
reign,reign,reign
of,of,of
panembahan,panembahan,panembahan
seda,seda,seda
ing,ing,ing
krapyak,krapyak,krapyak
of,of,of
mataram,mataram,mataram
(,(,
circa,circa,circa
<<year>>–1613,<<year>>1613,<<year>>1613
),),
",",",",
the,the,the
son,son,son
of,of,of
senapati,senapati,senapati
",",",",
wa,wa,wa
dominated,dominated,dominated
by,by,by
further,further,further
warfare,warfare,warfare
",",",",
especially,especially,especially
against,against,against
powerful,powerful,powerful
surabaya,surabaya,surabaya
",",",",
already,already,already
a,a,a
major,major,major
centre,centre,centre
of,of,of
power,power,power
in,in,in
east,east,east
java,java,java
.,.,
he,he,he
faced,faced,faced
rebellion,rebellion,rebellion
from,from,from
his,his,his
relative,relative,relative
who,who,who
were,were,were
installed,installed,installed
in,in,in
the,the,the
newly,newly,newly
conquered,conquered,conquered
demak,demak,demak
(,(,
<<year>>–4,<<year>>4,<<year>>4
),),
",",",",
ponorogo,ponorogo,ponorogo
(,(,
<<year>>–8,<<year>>8,<<year>>8
),),
and,and,and
kediri,kediri,kediri
(,(,
<<year>>,<<year>>,<<year>>
),),
.,.,
in,in,in
<<year>>,<<year>>,<<year>>
surabaya,surabaya,surabaya
",",",",
again,again,again
",",",",
rose,rose,rose
against,against,against
mataram,mataram,mataram
",",",",
a,a,a
the,the,the
response,response,response
hanyakrawati,hanyakrawati,hanyakrawati
conquered,conquered,conquered
mojokerto,mojokerto,mojokerto
",",",",
destroyed,destroyed,destroyed
gresik,gresik,gresik
and,and,and
burned,burned,burned
village,village,village
around,around,around
surabaya,surabaya,surabaya
.,.,
surabaya,surabaya,surabaya
however,however,however
",",",",
wa,wa,wa
still,still,still
indomitable,indomitable,indomitable
.,.,
the,the,the
first,first,first
contact,contact,contact
between,between,between
mataram,mataram,mataram
and,and,and
the,the,the
dutch,dutch,dutch
east,east,east
india,india,india
company,company,company
(,(,
voc,voc,voc
),),
occurred,occurred,occurred
under,under,under
panembahan,panembahan,panembahan
hanyakrawati,hanyakrawati,hanyakrawati
.,.,
dutch,dutch,dutch
activity,activity,activity
at,at,at
the,the,the
time,time,time
were,were,were
limited,limited,limited
to,to,to
trading,trading,trading
from,from,from
limited,limited,limited
coastal,coastal,coastal
settlement,settlement,settlement
",",",",
so,so,so
their,their,their
interaction,interaction,interaction
with,with,with
the,the,the
inland,inland,inland
mataram,mataram,mataram
kingdom,kingdom,kingdom
were,were,were
limited,limited,limited
",",",",
although,although,although
they,they,they
did,did,did
form,form,form
an,an,an
alliance,alliance,alliance
against,against,against
surabaya,surabaya,surabaya
in,in,in
<<year>>,<<year>>,<<year>>
.,.,
panembahan,panembahan,panembahan
hanyakrawati,hanyakrawati,hanyakrawati
died,died,died
accidentally,accidentally,accidentally
that,that,that
year,year,year
when,when,when
he,he,he
wa,wa,wa
in,in,in
krapyak,krapyak,krapyak
forest,forest,forest
",",",",
hunting,hunting,hunting
for,for,for
deer,deer,deer
.,.,
he,he,he
wa,wa,wa
given,given,given
posthumous,posthumous,posthumous
title,title,title
panembahan,panembahan,panembahan
seda,seda,seda
ing,ing,ing
krapyak,krapyak,krapyak
(,(,
his,his,his
majesty,majesty,majesty
who,who,who
died,died,died
in,in,in
krapyak,krapyak,krapyak
),),
.,.,
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
golden,golden,golden
age,age,age
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
panembahan,panembahan,panembahan
hanyakrawati,hanyakrawati,hanyakrawati
wa,wa,wa
succeeded,succeeded,succeeded
by,by,by
his,his,his
son,son,son
",",",",
adipati,adipati,adipati
martapura,martapura,martapura
.,.,
adipati,adipati,adipati
martapura,martapura,martapura
however,however,however
",",",",
wa,wa,wa
of,of,of
poor,poor,poor
health,health,health
and,and,and
quickly,quickly,quickly
replaced,replaced,replaced
by,by,by
his,his,his
brother,brother,brother
",",",",
raden,raden,raden
ma,ma,ma
rangsang,rangsang,rangsang
in,in,in
<<year>>,<<year>>,<<year>>
",",",",
who,who,who
assumed,assumed,assumed
the,the,the
title,title,title
panembahan,panembahan,panembahan
ing,ing,ing
alaga,alaga,alaga
",",",",
and,and,and
later,later,later
in,in,in
<<year>>,<<year>>,<<year>>
took,took,took
the,the,the
title,title,title
of,of,of
sultan,sultan,sultan
agung,agung,agung
of,of,of
mataram,mataram,mataram
(,(,
``,``,
great,great,great
sultan,sultan,sultan
'','',
),),
.,.,
mataram,mataram,mataram
sultanate,sultanate,sultanate
under,under,under
the,the,the
reign,reign,reign
of,of,of
sultan,sultan,sultan
agung,agung,agung
is,is,is
popularly,popularly,popularly
remembered,remembered,remembered
a,a,a
the,the,the
apogee,apogee,apogee
of,of,of
mataram,mataram,mataram
's,'s,s
rule,rule,rule
on,on,on
java,java,java
",",",",
and,and,and
the,the,the
golden,golden,golden
age,age,age
of,of,of
native,native,native
javanese,javanese,javanese
power,power,power
prior,prior,prior
to,to,to
european,european,european
colonisation,colonisation,colonisation
in,in,in
following,following,following
century,century,century
.,.,
<<section_title_start>>,<<section_title_start>>,<<section_title_start>>
surabaya,surabaya,surabaya
campaign,campaign,campaign
and,and,and
eastern,eastern,eastern
conquests,conquests,conquests
<<section_title_end>>,<<section_title_end>>,<<section_title_end>>
panembahan,panembahan,panembahan
ing,ing,ing
alaga,alaga,alaga
wa,wa,wa
an,an,an
able,able,able
military,military,military
general,general,general
and,and,and
also,also,also
a,a,a
warlike,warlike,warlike
ambitious,ambitious,ambitious
leader,leader,leader
",",",",
and,and,and
he,he,he
aspired,aspired,aspired
to,to,to
unite,unite,unite
java,java,java
under,under,under
mataram,mataram,mataram
's,'s,s
banner,banner,banner
.,.,
he,he,he
responsible,responsible,responsible
for,for,for
the,the,the
great,great,great
expansion,expansion,expansion
and,and,and
lasting,lasting,lasting
historical,historical,historical
legacy,legacy,legacy
of,of,of
mataram,mataram,mataram
due,due,due
to,to,to
the,the,the
extensive,extensive,extensive
military,military,military
conquest,conquest,conquest
of,of,of
his,his,his
long,long,long
reign,reign,reign
from,from,from
<<year>>,<<year>>,<<year>>
to,to,to
<<year>>,<<year>>,<<year>>
.,.,
under,under,under
sultan,sultan,sultan
agung,agung,agung
",",",",
mataram,mataram,mataram
wa,wa,wa
able,able,able
to,to,to
expand,expand,expand
it,it,it
territory,territory,territory
to,to,to
include,include,include
most,most,most
of,of,of
java,java,java
after,after,after
capturing,capturing,capturing
several,several,several
port,port,port
city,city,city
of,of,of
northern,northern,northern
java,java,java
.,.,
surabaya,surabaya,surabaya
with,with,with
it,it,it
strong,strong,strong
fortification,fortification,fortification
and,and,and
surrounded,surrounded,surrounded
by,by,by
swamp,swamp,swamp
",",",",
wa,wa,wa
still,still,still
the,the,the
most,most,most
formidable,formidable,formidable
enemy,enemy,enemy
of,of,of
mataram,mataram,mataram
.,.,
in,in,in
<<year>>,<<year>>,<<year>>
",",",",
surabaya,surabaya,surabaya
forged,forged,forged
an,an,an
alliance,alliance,alliance
with,with,with
kediri,kediri,kediri
",",",",
tuban,tuban,tuban
and,and,and
pasuruan,pasuruan,pasuruan
",",",",
and,and,and
launched,launched,launched
invasion,invasion,invasion
against,against,against
mataram,mataram,mataram
.,.,
in,in,in
the,the,the
following,following,following
year,year,year
",",",",
sultan,sultan,sultan
agung,agung,agung
managed,managed,managed
to,to,to
repel,repel,repel
allied,allied,allied
surabaya,surabaya,surabaya
force,force,force
in,in,in
wirasaba,wirasaba,wirasaba
(,(,
present,present,present
day,day,day
mojoagung,mojoagung,mojoagung
",",",",
near,near,near
mojokerto,mojokerto,mojokerto
),),
.,.,
he,he,he
also,also,also
conquered,conquered,conquered
malang,malang,malang
",",",",
south,south,south
of,of,of
surabaya,surabaya,surabaya
.,.,
in,in,in
<<year>>,<<year>>,<<year>>
",",",",
surabaya,surabaya,surabaya
tried,tried,tried
to,to,to
attack,attack,attack
mataram,mataram,mataram
but,but,but
this,this,this
army,army,army
wa,wa,wa
crushed,crushed,crushed
by,by,by
sultan,sultan,sultan
agung,agung,agung
's,'s,s
force,force,force
in,in,in
siwalan,siwalan,siwalan
",",",",
pajang,pajang,pajang
(,(,
near,near,near
solo,solo,solo
),),
.,.,
the,the,the
coastal,coastal,coastal
city,city,city
of,of,of
lasem,lasem,lasem
",",",",
near,near,near
rembang,rembang,rembang
",",",",
wa,wa,wa
conquered,conquered,conquered
in,in,in
<<year>>,<<year>>,<<year>>
and,and,and
pasuruan,pasuruan,pasuruan
",",",",
southeast,southeast,southeast
of,of,of
